Row,02-05-2026_with IL3_30min_10uM-Verteporfin_rep1,02-05-2026_with IL3_30min_10uM-Verteporfin_rep2,02-05-2026_with IL3_30min_10uM-ZT-1A_rep1,02-05-2026_with IL3_30min_10uM-ZT-1A_rep2,02-05-2026_with IL3_30min_10uMwnk-in-11_rep1,02-05-2026_with IL3_30min_10uMwnk-in-11_rep2,02-05-2026_with IL3_30min_10uMwnk463_rep1,02-05-2026_with IL3_30min_10uMwnk463_rep2,02-05-2026_with IL3_30min_20uM-ZT-1A_rep1,02-05-2026_with IL3_30min_20uM-ZT-1A_rep2,02-05-2026_with IL3_30min_2uM-ZT-1A_rep1,02-05-2026_with IL3_30min_2uM-ZT-1A_rep2,02-05-2026_with IL3_30min_3uMwnk463_rep1,02-05-2026_with IL3_30min_3uMwnk463_rep2,02-05-2026_with IL3_30min_dmso_rep1,02-05-2026_with IL3_30min_dmso_rep2,02-05-2026_with IL3_30min_dmso_rep3,02-05-2026_with IL3_3h-45min_10uM-Verteporfin_rep1,02-05-2026_with IL3_3h-45min_10uM-Verteporfin_rep2,02-05-2026_with IL3_3h-45min_10uM-ZT-1A_rep1,02-05-2026_with IL3_3h-45min_10uM-ZT-1A_rep2,02-05-2026_with IL3_3h-45min_10uMwnk-in-11_rep1,02-05-2026_with IL3_3h-45min_10uMwnk-in-11_rep2,02-05-2026_with IL3_3h-45min_10uMwnk463_rep1,02-05-2026_with IL3_3h-45min_10uMwnk463_rep2,02-05-2026_with IL3_3h-45min_20uM-ZT-1A_rep1,02-05-2026_with IL3_3h-45min_20uM-ZT-1A_rep2,02-05-2026_with IL3_3h-45min_2uM-ZT-1A_rep1,02-05-2026_with IL3_3h-45min_2uM-ZT-1A_rep2,02-05-2026_with IL3_3h-45min_3uMwnk463_rep1,02-05-2026_with IL3_3h-45min_3uMwnk463_rep2,02-05-2026_with IL3_3h-45min_dmso_rep1,02-05-2026_with IL3_3h-45min_dmso_rep2,02-05-2026_with IL3_3h-45min_dmso_rep3,02-05-2026_with IL3_80min_10uM-Verteporfin_rep1,02-05-2026_with IL3_80min_10uM-Verteporfin_rep2,02-05-2026_with IL3_80min_10uM-ZT-1A_rep1,02-05-2026_with IL3_80min_10uM-ZT-1A_rep2,02-05-2026_with IL3_80min_10uMwnk-in-11_rep1,02-05-2026_with IL3_80min_10uMwnk-in-11_rep2,02-05-2026_with IL3_80min_10uMwnk463_rep1,02-05-2026_with IL3_80min_10uMwnk463_rep2,02-05-2026_with IL3_80min_20uM-ZT-1A_rep1,02-05-2026_with IL3_80min_20uM-ZT-1A_rep2,02-05-2026_with IL3_80min_2uM-ZT-1A_rep1,02-05-2026_with IL3_80min_2uM-ZT-1A_rep2,02-05-2026_with IL3_80min_3uMwnk463_rep1,02-05-2026_with IL3_80min_3uMwnk463_rep2,02-05-2026_with IL3_80min_dmso_rep1,02-05-2026_with IL3_80min_dmso_rep2,02-05-2026_with IL3_80min_dmso_rep3,02-06-2026_with IL3_26h_10uM-ZT-1A_rep1,02-06-2026_with IL3_26h_10uM-ZT-1A_rep2,02-06-2026_with IL3_26h_10uMwnk-in-11_rep1,02-06-2026_with IL3_26h_10uMwnk-in-11_rep2,02-06-2026_with IL3_26h_10uMwnk463_rep1,02-06-2026_with IL3_26h_10uMwnk463_rep2,02-06-2026_with IL3_26h_20uM-ZT-1A_rep1,02-06-2026_with IL3_26h_20uM-ZT-1A_rep2,02-06-2026_with IL3_26h_2uM-ZT-1A_rep1,02-06-2026_with IL3_26h_2uM-ZT-1A_rep2,02-06-2026_with IL3_26h_3uMwnk463_rep1,02-06-2026_with IL3_26h_3uMwnk463_rep2,02-06-2026_with IL3_26h_dmso_rep1,02-06-2026_with IL3_26h_dmso_rep2,02-06-2026_with IL3_26h_dmso_rep3,02-05-2026_no IL3_30min_10uM-Verteporfin_rep1,02-05-2026_no IL3_30min_10uM-Verteporfin_rep2,02-05-2026_no IL3_30min_10uM-ZT-1A_rep1,02-05-2026_no IL3_30min_10uM-ZT-1A_rep2,02-05-2026_no IL3_30min_10uMwnk-in-11_rep1,02-05-2026_no IL3_30min_10uMwnk-in-11_rep2,02-05-2026_no IL3_30min_10uMwnk463_rep1,02-05-2026_no IL3_30min_10uMwnk463_rep2,02-05-2026_no IL3_30min_20uM-ZT-1A_rep1,02-05-2026_no IL3_30min_20uM-ZT-1A_rep2,02-05-2026_no IL3_30min_2uM-ZT-1A_rep1,02-05-2026_no IL3_30min_2uM-ZT-1A_rep2,02-05-2026_no IL3_30min_3uMwnk463_rep1,02-05-2026_no IL3_30min_3uMwnk463_rep2,02-05-2026_no IL3_30min_dmso_rep1,02-05-2026_no IL3_30min_dmso_rep2,02-05-2026_no IL3_30min_dmso_rep3,02-05-2026_no IL3_4h_10uM-Verteporfin_rep1,02-05-2026_no IL3_4h_10uM-Verteporfin_rep2,02-05-2026_no IL3_4h_10uM-ZT-1A_rep1,02-05-2026_no IL3_4h_10uM-ZT-1A_rep2,02-05-2026_no IL3_4h_10uMwnk-in-11_rep1,02-05-2026_no IL3_4h_10uMwnk-in-11_rep2,02-05-2026_no IL3_4h_10uMwnk463_rep1,02-05-2026_no IL3_4h_10uMwnk463_rep2,02-05-2026_no IL3_4h_20uM-ZT-1A_rep1,02-05-2026_no IL3_4h_20uM-ZT-1A_rep2,02-05-2026_no IL3_4h_2uM-ZT-1A_rep1,02-05-2026_no IL3_4h_2uM-ZT-1A_rep2,02-05-2026_no IL3_4h_3uMwnk463_rep1,02-05-2026_no IL3_4h_3uMwnk463_rep2,02-05-2026_no IL3_4h_dmso_rep1,02-05-2026_no IL3_4h_dmso_rep2,02-05-2026_no IL3_4h_dmso_rep3,02-05-2026_no IL3_80min_10uM-Verteporfin_rep1,02-05-2026_no IL3_80min_10uM-Verteporfin_rep2,02-05-2026_no IL3_80min_10uM-ZT-1A_rep1,02-05-2026_no IL3_80min_10uM-ZT-1A_rep2,02-05-2026_no IL3_80min_10uMwnk-in-11_rep1,02-05-2026_no IL3_80min_10uMwnk-in-11_rep2,02-05-2026_no IL3_80min_10uMwnk463_rep1,02-05-2026_no IL3_80min_10uMwnk463_rep2,02-05-2026_no IL3_80min_20uM-ZT-1A_rep1,02-05-2026_no IL3_80min_20uM-ZT-1A_rep2,02-05-2026_no IL3_80min_2uM-ZT-1A_rep1,02-05-2026_no IL3_80min_2uM-ZT-1A_rep2,02-05-2026_no IL3_80min_3uMwnk463_rep1,02-05-2026_no IL3_80min_3uMwnk463_rep2,02-05-2026_no IL3_80min_dmso_rep1,02-05-2026_no IL3_80min_dmso_rep2,02-05-2026_no IL3_80min_dmso_rep3,02-06-2026_no IL3_26h_10uM-ZT-1A_rep1,02-06-2026_no IL3_26h_10uM-ZT-1A_rep2,02-06-2026_no IL3_26h_10uMwnk-in-11_rep1,02-06-2026_no IL3_26h_10uMwnk-in-11_rep2,02-06-2026_no IL3_26h_10uMwnk463_rep1,02-06-2026_no IL3_26h_10uMwnk463_rep2,02-06-2026_no IL3_26h_20uM-ZT-1A_rep1,02-06-2026_no IL3_26h_20uM-ZT-1A_rep2,02-06-2026_no IL3_26h_2uM-ZT-1A_rep1,02-06-2026_no IL3_26h_2uM-ZT-1A_rep2,02-06-2026_no IL3_26h_3uMwnk463_rep1,02-06-2026_no IL3_26h_3uMwnk463_rep2,02-06-2026_no IL3_26h_dmso_rep1,02-06-2026_no IL3_26h_dmso_rep2,02-06-2026_no IL3_26h_dmso_rep3
Mean,763.155,756.265,663.173,667.071,656.08,670.457,655.856,654.584,617.464,611.409,763.669,763.095,646.036,651.913,769.638,807.882,775.726,702.405,699.469,603.878,604.527,673.195,675.857,657.162,672.067,568.274,560.188,736.953,714.076,685.86,696.572,773.129,794.384,763.141,802.211,812.612,628.745,673.135,641.44,641.099,620.062,623.892,600.101,602.742,773.897,754.171,663.489,643.309,790.924,800.91,786.082,673.663,669.838,714.696,693.341,737.649,735.541,562.062,570.878,676.949,625.059,764.804,779.838,902.611,920.565,954.622,290.678,289.509,275.941,278.316,263.645,265.916,267.534,267.356,271.737,272.267,309.263,310.77,260.503,263.43,314.074,313.696,320.795,285.199,281.577,262.485,264.386,262.688,248.283,238.962,232.721,257.148,257.544,305.563,313.139,288.163,331.478,317.158,315.245,312.866,288.592,284.09,281.36,269.364,250.088,247.839,248.859,250.091,270.712,266.564,296.738,301.049,246.121,251.232,327.713,320.564,323.663,213.291,215.353,209.933,217.977,203.742,205.445,227.883,215.177,306.936,306.204,211.993,214.901,400.702,399.758,304.765
Mode,773.202,757.332,554.894,543.503,543.503,590.506,532.348,554.894,532.348,543.503,655.011,711.654,543.503,543.503,741.79,726.569,668.738,628.407,602.879,543.503,532.348,543.503,615.511,543.503,543.503,450.981,532.348,578.387,615.511,590.506,543.503,668.738,628.407,668.738,789.406,741.79,532.348,532.348,479.926,532.348,532.348,578.387,479.926,510.728,757.332,602.879,521.425,543.503,682.749,757.332,668.738,543.503,590.506,578.387,543.503,628.407,602.879,532.348,532.348,543.503,532.348,655.011,726.569,893.971,840.061,840.061,274.18,274.18,247.178,268.553,242.105,252.357,263.041,257.643,252.357,257.643,268.553,285.789,257.643,237.136,274.18,279.924,279.924,263.041,291.776,257.643,257.643,222.835,237.136,209.395,218.262,263.041,268.553,285.789,274.18,237.136,227.504,291.776,285.789,279.924,291.776,279.924,274.18,257.643,227.504,242.105,237.136,237.136,263.041,263.041,268.553,274.18,222.835,247.178,279.924,274.18,268.553,232.27,222.835,232.27,242.105,218.262,218.262,200.89,222.835,274.18,274.18,218.262,218.262,330.431,359.006,291.776
Median,717.478,711.899,614.334,620.15,609.77,623.677,612.87,609.057,559.381,558.932,706.377,714.268,606.283,609.954,720.938,757.154,725.111,664.683,665.867,557.034,555.863,625.181,623.46,616.045,633.039,523.203,521.572,685.909,663.034,639.403,652.016,717.214,737.846,710.935,758.08,768.537,575.842,624.724,596.306,591.691,574.097,583.673,551.355,549.356,723.579,706.392,620.504,600.431,739.504,754.517,727.927,612.855,612.355,662.711,637.237,681.681,681.23,529.425,533.839,614.652,566.769,710.705,728.252,835.257,852.814,885.094,278.072,279.244,265.131,268.816,249.787,251.127,252.276,251.737,259.368,261.451,288.033,290.801,250.607,252.214,291.635,293.318,293.318,242.131,249.128,252.991,254.774,236.889,237.16,225.277,224.399,249.659,251.206,284.237,281.483,234.788,241.42,296.626,296.868,292.776,273.708,275.027,278.036,257.968,238.84,238.557,237.267,233.936,253.192,251.897,278.897,285.001,232.557,240.289,291.541,291.048,293.54,209.707,208.833,198.682,202.196,196.526,198.575,203.422,200.331,286.594,285.679,209.589,212.499,351.48,363.997,287.171
SD,255.271,247.068,227.914,217.523,229.885,219.387,216.889,214.299,223.283,209.254,260.957,244.236,206.451,210.267,249.13,256.669,254.144,240.117,240.58,199.736,203.72,224.734,230.704,213.269,218.975,208.357,186.535,253.988,240.946,233.809,234.632,256.11,258.607,250.363,266.395,278.572,214.68,234.695,228.254,220.936,209.66,203.138,208.9,215.848,257.606,246.733,222.222,212.931,266.682,261.603,279.777,268.775,269.082,259.784,257.48,298.097,291.704,204.45,212.27,260.664,233.509,295.289,296.22,336.324,335.831,352.528,105.706,97.2957,96.1906,92.4735,98.2104,99.043,97.9303,97.4742,94.2873,91.1687,89.365,86.1945,88.8255,86.3513,91.205,83.252,107.289,217.942,196.99,105.684,100.342,142.599,101.36,82.2718,79.0211,92.7075,88.0106,94.7254,118.933,262.005,313.546,84.6046,81.1358,84.571,142.976,112.684,92.6915,90.6393,84.8912,81.6584,85.2708,91.9929,112.475,109.092,74.2133,74.5967,88.544,81.3409,131.623,114.967,113.807,81.7312,84.1725,94.2513,111.705,84.8307,80.5835,145.734,114.72,87.7326,85.1283,81.3349,78.165,180.229,143.482,81.6588
CV,33.4495,32.6695,34.3672,32.6087,35.0392,32.722,33.0696,32.7382,36.1613,34.2248,34.1714,32.006,31.9567,32.2539,32.3698,31.7706,32.7621,34.185,34.3947,33.0755,33.6991,33.3832,34.135,32.453,32.5823,36.6649,33.2985,34.4646,33.7424,34.0899,33.6838,33.1264,32.5544,32.807,33.2075,34.281,34.1442,34.8659,35.5846,34.462,33.8127,32.5597,34.8108,35.8111,33.2868,32.7158,33.4929,33.0994,33.7178,32.6632,35.5913,39.8976,40.1712,36.3488,37.1361,40.4118,39.6584,36.375,37.183,38.5057,37.358,38.6097,37.9848,37.2612,36.4809,36.9285,36.3654,33.6071,34.8592,33.2261,37.2511,37.2459,36.6048,36.4586,34.6981,33.485,28.8961,27.7358,34.0977,32.7797,29.0394,26.5391,33.4447,76.4177,69.9596,40.263,37.9527,54.2846,40.8246,34.4288,33.9553,36.0521,34.173,31.0003,37.9809,90.9225,94.5902,26.6759,25.7374,27.031,49.5425,39.6648,32.9441,33.6494,33.9445,32.9482,34.2647,36.7838,41.5479,40.9253,25.0097,24.7789,35.9758,32.3768,40.164,35.864,35.1622,38.3192,39.0859,44.8958,51.2465,41.6363,39.2238,63.951,53.3142,28.5833,27.8012,38.3668,36.3725,44.9784,35.8922,26.794
MinSize,260.328,260.328,229.875,229.875,234.69,234.69,234.69,234.69,265.783,265.783,320.312,320.312,234.69,234.69,294.817,294.817,294.817,234.69,234.69,244.628,244.628,288.767,288.767,288.767,288.767,211.578,211.578,271.352,271.352,288.767,288.767,288.767,288.767,288.767,307.3,307.3,277.037,277.037,244.628,244.628,244.628,244.628,265.783,265.783,300.995,300.995,244.628,244.628,277.037,277.037,277.037,190.742,190.742,182.993,182.993,182.993,182.993,175.559,175.559,239.608,239.608,182.993,182.993,307.3,307.3,307.3,92.3134,92.3134,88.5634,88.5634,88.5634,88.5634,102.398,102.398,98.238,98.238,182.993,182.993,94.2475,94.2475,202.983,202.983,202.983,73.4863,73.4863,71.9785,71.9785,78.2031,78.2031,83.2222,83.2222,83.2222,83.2222,179.237,179.237,84.9658,84.9658,198.818,198.818,198.818,83.2222,83.2222,84.9658,84.9658,79.8412,79.8412,90.4191,90.4191,98.238,98.238,186.827,186.827,96.2221,96.2221,194.738,194.738,194.738,70.5013,70.5013,71.9785,71.9785,73.4863,73.4863,67.6376,67.6376,190.742,190.742,78.2031,78.2031,229.875,239.608,194.738
MaxSize,2710.86,2710.86,2113.69,2113.69,2158,2158,2158,2158,2249.34,2249.34,2825.64,2825.64,2158,2158,2884.82,2884.82,2884.82,2296.49,2296.49,2070.3,2070.3,2113.69,2113.69,2113.69,2113.69,1790.61,1790.61,2600.73,2600.73,2113.69,2113.69,2884.82,2884.82,2884.82,2884.82,2884.82,2296.49,2296.49,2495.06,2495.06,2495.06,2495.06,2070.3,2070.3,2344.6,2344.6,2495.06,2495.06,3199.99,3199.99,3199.99,2443.86,2443.86,2945.26,2945.26,2945.26,2945.26,1905.55,1905.55,2393.71,2393.71,2945.26,2945.26,3405.33,3405.33,3405.33,903.287,903.287,734.142,734.142,866.604,866.604,903.287,903.287,765.228,765.228,814.349,814.349,848.815,848.815,1134.73,1134.73,1134.73,2249.34,2249.34,848.815,848.815,1455.28,1455.28,719.074,719.074,719.074,719.074,1088.62,1088.62,3006.99,3006.99,848.815,848.815,848.815,1614.26,1614.26,903.287,903.287,734.142,734.142,765.228,765.228,1134.73,1134.73,661.84,661.84,765.228,765.228,1311.98,1311.98,1311.98,848.815,848.815,981.423,981.423,765.228,765.228,1548.68,1548.68,1044.4,1044.4,648.253,648.253,1945.44,1717.88,781.26
SampleSize,7098,6588,7026,6826,7049,6710,6884,6393,6826,6600,7161,7040,6611,6570,6552,6958,7227,7206,6883,7359,7273,8148,7782,7078,7344,7295,7000,8617,7864,7903,8313,8959,8667,9133,7186,6933,7055,7396,7532,6987,6999,6476,6878,6650,6960,7027,7008,6463,7396,7261,7433,8315,7219,14163,14058,10748,10400,7295,7117,13183,11123,13715,14043,15881,17676,18263,6045,5963,6190,6198,6635,6271,6504,6469,6331,6224,5439,5510,6181,5939,5595,5109,5155,6943,6670,6886,6351,6937,6173,6311,6078,6329,5833,5812,5662,6855,7607,5403,5298,5471,6744,6081,5644,6097,6565,6160,6399,6732,6207,6667,5374,4994,6378,6177,5721,5437,5198,6573,5947,7021,6767,6024,5601,6526,6907,4972,4588,6649,6145,4536,5203,4792
Time_h,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,3.75,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Condition,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Concentration,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IndexCols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
